Bus,MessageID,Message,MessageLength,Time
2,0x45a,0x5a008000000f0f0f,8,4.108282566070557
0,0x45a,0x5a008000000f0f0f,8,4.10828709602356
2,0x45a,0x5a008000000f0f0f,8,4.1085638999938965
0,0x45a,0x5a008000000f0f0f,8,4.10856819152832
2,0x45a,0x5a008000000f0f0f,8,4.108768463134766
0,0x45a,0x5a008000000f0f0f,8,4.108771562576294
2,0x45a,0x5a008000000f0f0f,8,4.109035968780518
0,0x45a,0x5a008000000f0f0f,8,4.109039068222046
2,0x45a,0x5a008000000f0f0f,8,4.109281778335571
0,0x45a,0x5a008000000f0f0f,8,4.109286069869995
2,0x45a,0x5a008000000f0f0f,8,4.1095404624938965
0,0x45a,0x5a008000000f0f0f,8,4.109543800354004
2,0x45a,0x5a008000000f0f0f,8,4.109847068786621
0,0x45a,0x5a008000000f0f0f,8,4.109850168228149
2,0x45a,0x5a008000000f0f0f,8,4.110152006149292
0,0x45a,0x5a008000000f0f0f,8,4.110156059265137
2,0x45a,0x5a008000000f0f0f,8,4.110450029373169
0,0x45a,0x5a008000000f0f0f,8,4.110452890396118
2,0x45a,0x5a008000000f0f0f,8,4.110625982284546
0,0x45a,0x5a008000000f0f0f,8,4.110630035400391
2,0x45a,0x5a008000000f0f0f,8,4.110920429229736
0,0x45a,0x5a008000000f0f0f,8,4.110923767089844
2,0x45a,0x5a008000000f0f0f,8,4.111149072647095
0,0x45a,0x5a008000000f0f0f,8,4.111153841018677
2,0x45a,0x5a008000000f0f0f,8,4.111376047134399
0,0x45a,0x5a008000000f0f0f,8,4.111472845077515
2,0x45a,0x5a008000000f0f0f,8,4.111722946166992
0,0x45a,0x5a008000000f0f0f,8,4.111827373504639
2,0x45a,0x5a008000000f0f0f,8,4.111941814422607
0,0x45a,0x5a008000000f0f0f,8,4.111944675445557
2,0x45a,0x5a008000000f0f0f,8,4.112203121185303
0,0x45a,0x5a008000000f0f0f,8,4.112205982208252
2,0x45a,0x5a008000000f0f0f,8,4.112476348876953
0,0x45a,0x5a008000000f0f0f,8,4.112479209899902
2,0x45a,0x5a008000000f0f0f,8,4.1127824783325195
0,0x45a,0x5a008000000f0f0f,8,4.112786054611206
2,0x45a,0x5a008000000f0f0f,8,4.113072156906128
0,0x45a,0x5a008000000f0f0f,8,4.113075256347656
2,0x45a,0x5a008000000f0f0f,8,4.113256454467773
0,0x45a,0x5a008000000f0f0f,8,4.113259315490723
2,0x45a,0x5a008000000f0f0f,8,4.113535404205322
0,0x45a,0x5a008000000f0f0f,8,4.1135382652282715
2,0x45a,0x5a008000000f0f0f,8,4.113767147064209
0,0x45a,0x5a008000000f0f0f,8,4.1138715744018555
2,0x45a,0x5a008000000f0f0f,8,4.114096641540527
0,0x45a,0x5a008000000f0f0f,8,4.114100694656372
2,0x45a,0x5a008000000f0f0f,8,4.114392280578613
0,0x45a,0x5a008000000f0f0f,8,4.1143951416015625
2,0x45a,0x5a008000000f0f0f,8,4.114732503890991
0,0x45a,0x5a008000000f0f0f,8,4.114736795425415
2,0x45a,0x5a008000000f0f0f,8,4.1148340702056885
0,0x45a,0x5a008000000f0f0f,8,4.114933490753174
2,0x45a,0x5a008000000f0f0f,8,4.115118980407715
0,0x45a,0x5a008000000f0f0f,8,4.115122079849243
2,0x45a,0x5a008000000f0f0f,8,4.115444183349609
0,0x45a,0x5a008000000f0f0f,8,4.115448713302612
2,0x45a,0x5a008000000f0f0f,8,4.115692853927612
0,0x45a,0x5a008000000f0f0f,8,4.115695476531982
